"","Gene","deltaCT","Set","Condition"
"2","PEG10",16.87831307,"CM015","ZNF274"
"3","PEG10",15.42014328,"CM016","ZNF274"
"5","PEG10",16.35661221,"CM015","E2F6"
"6","PEG10",16.67066669,"CM016","E2F6"
"8","PEG10",12.76609199,"CM015","GFP"
"9","PEG10",11.79042768,"CM016","GFP"
"14","HMGB3",17.05473264,"CM015","ZNF274"
"15","HMGB3",16.28191391,"CM016","ZNF274"
"17","HMGB3",17.61826929,"CM015","E2F6"
"18","HMGB3",17.27180894,"CM016","E2F6"
"20","HMGB3",16.75699393,"CM015","GFP"
"21","HMGB3",16.94154787,"CM016","GFP"
"26","NUSAP1",17.71888606,"CM015","ZNF274"
"27","NUSAP1",15.87465111,"CM016","ZNF274"
"29","NUSAP1",16.87380314,"CM015","E2F6"
"30","NUSAP1",17.71023273,"CM016","E2F6"
"32","NUSAP1",16.22535102,"CM015","GFP"
"33","NUSAP1",16.16950559,"CM016","GFP"
"38","HIST1H1D",14.67312622,"CM015","ZNF274"
"39","HIST1H1D",14.14093542,"CM016","ZNF274"
"41","HIST1H1D",15.13213444,"CM015","E2F6"
"42","HIST1H1D",15.4012982,"CM016","E2F6"
"44","HIST1H1D",14.61464723,"CM015","GFP"
"45","HIST1H1D",14.80680036,"CM016","GFP"
"50","IDH2",16.70919991,"CM015","ZNF274"
"51","IDH2",15.51036532,"CM016","ZNF274"
"53","IDH2",15.94785532,"CM015","E2F6"
"54","IDH2",16.19915421,"CM016","E2F6"
"56","IDH2",16.01667436,"CM015","GFP"
"57","IDH2",16.09159326,"CM016","GFP"
"62","ETV1",19.62774468,"CM015","ZNF274"
"63","ETV1",17.70411253,"CM016","ZNF274"
"65","ETV1",19.53565058,"CM015","E2F6"
"66","ETV1",18.86702124,"CM016","E2F6"
"68","ETV1",18.47526582,"CM015","GFP"
"69","ETV1",17.82414388,"CM016","GFP"
"73","PEG10",17.05056795,"CRP016","ZNF274"
"75","PEG10",19.07569139,"CRP027","ZNF274"
"76","PEG10",17.43254598,"CRP016","E2F6"
"78","PEG10",18.3294913,"CRP027","E2F6"
"79","PEG10",14.6342837,"CRP016","GFP"
"81","PEG10",14.59908049,"CRP027","GFP"
"85","HMGB3",18.31888294,"CRP016","ZNF274"
"87","HMGB3",20.62544775,"CRP027","ZNF274"
"88","HMGB3",19.34331512,"CRP016","E2F6"
"90","HMGB3",19.84441758,"CRP027","E2F6"
"91","HMGB3",16.32615534,"CRP016","GFP"
"93","HMGB3",16.82867122,"CRP027","GFP"
"97","NUSAP1",16.88078785,"CRP016","ZNF274"
"99","NUSAP1",22.22129075,"CRP027","ZNF274"
"100","NUSAP1",18.72077942,"CRP016","E2F6"
"102","NUSAP1",18.63371977,"CRP027","E2F6"
"103","NUSAP1",14.45149676,"CRP016","GFP"
"105","NUSAP1",15.71237191,"CRP027","GFP"
"109","HIST1H1D",14.97589779,"CRP016","ZNF274"
"111","HIST1H1D",14.99874513,"CRP027","ZNF274"
"112","HIST1H1D",15.45860863,"CRP016","E2F6"
"114","HIST1H1D",15.03588105,"CRP027","E2F6"
"115","HIST1H1D",13.50299453,"CRP016","GFP"
"117","HIST1H1D",13.63507406,"CRP027","GFP"
"121","IDH2",16.73981444,"CRP016","ZNF274"
"123","IDH2",20.36105999,"CRP027","ZNF274"
"124","IDH2",18.16498565,"CRP016","E2F6"
"126","IDH2",19.95428849,"CRP027","E2F6"
"127","IDH2",16.52674865,"CRP016","GFP"
"129","IDH2",15.78896721,"CRP027","GFP"
"133","ETV1",19.63379192,"CRP016","ZNF274"
"135","ETV1",22.33030336,"CRP027","ZNF274"
"136","ETV1",21.0714124,"CRP016","E2F6"
"138","ETV1",22.87840907,"CRP027","E2F6"
"139","ETV1",16.740537,"CRP016","GFP"
"141","ETV1",18.65518197,"CRP027","GFP"
